contrato|posto|n
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DHPP CANOAS|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DHPP GRAVATAÍ|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DHPP SÃO LEOPOLDO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DHPP VIAMÃO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DP CAMPO BOM|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DP CAPELA DE SANTANA|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPCI|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DP DOIS IRMÃOS|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DP ESTÂNCIA VELHA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DP GLORINHA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DP IVOTI|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DP NOVA HARTZ|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPPA ALVORADA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPPA CANOAS|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPPA NOVO HAMBURGO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DP PAROBÉ|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPPA SÃO LEOPOLDO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPPA VIAMÃO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DP PORTÃO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 12ª DP|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 13ª DP|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 15ª DP|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 17ª DP|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 18ª DP|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 1ª DP|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 20ª DP|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 2ª DP|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 3ª DP|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 5ª DP|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPRPA - 6ª DP|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DP SAPIRANGA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DPTUR|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DRACO SÃO LEOPOLDO|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DRTC|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|PALÁCIO DA POLÍCIA|37
POLÍCIA CIVIL RS LIMPEZA - 066/2026|SEMAT/DMP/DAP|2
PREF POA SMS RECEPÇÃO - 98672.2025|CAPSi Harmonia|1
PREF POA SMS RECEPÇÃO - 98672.2025|Clinica da familia IPAI|1
PREF POA SMS RECEPÇÃO - 98672.2025|DIRETORIA GERAL DE VIGILÂNCIA EM SAÚDE|1
PREF POA SMS RECEPÇÃO - 98672.2025|ESMA ASSIS BRASIL|1
PREF POA SMS RECEPÇÃO - 98672.2025|ESMA RESTINGA|1
PREF POA SMS RECEPÇÃO - 98672.2025|HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS|5
PREF POA SMS RECEPÇÃO - 98672.2025|HPS|15
PREF POA SMS RECEPÇÃO - 98672.2025|PRONTO ATENDIMENTO CRUZEIRO DO SUL|1
PREF POA SMS RECEPÇÃO - 98672.2025|SAE Vila dos comerciários|1
PREF POA SMS RECEPÇÃO - 98672.2025|US IAPI E CEO ODONTO IAPI|1
PREF POA SMS RECEPÇÃO - 98672.2025|US MODELO|4
SALTO DO JACUI - 722 2021|SECRETARIA DE EDUCAÇÃO|2
SAMU TELEFONISTAS- 96397.2025|SAMU PORTO ALEGRE|13
SEC CULT POA - PORT-88123 2024|SECRETARIA DE CULTURA DE PORTO ALEGRE|3
SEMAE - 3038.2020|SEMAE - CENTRO ADM - 3038 2020|3
SEMAE - 3038.2020|SEMAE - DIV. OBRAS - 3038 2020|3
SEMAE - 3038.2020|SEMAE - ETE VICENT. - 3038 2020|1
SEMAE - 3038.2020|SEMAE - ZONA LESTE - 3038 2020|2
TJRS - 023.2025|TJRS - 1|21
TJRS - 023.2025|TJRS - 2|24
TRIUNFO COLETA DE LIXO - 89.2026|COLETOR/GARI|68
TRIUNFO COLETA DE LIXO - 89.2026|MOTORISTA CAT. C|1
TRIUNFO VIGIAS - 33 2024|ABRIGO|6
TRIUNFO VIGIAS - 33 2024|ADM|3
TRIUNFO VIGIAS - 33 2024|CAMBOATA|3
TRIUNFO VIGIAS - 33 2024|CRAS|1
TRIUNFO VIGIAS - 33 2024|DISTRITO|2
TRIUNFO VIGIAS - 33 2024|E.M.E.F GONCALVES DIAS|2
TRIUNFO VIGIAS - 33 2024|E.M.E.F JOSUE|1
TRIUNFO VIGIAS - 33 2024|E.M.E.I AMOR PERFEITO|1
TRIUNFO VIGIAS - 33 2024|E.M.E.I MUNDO ENCANTADO|1
TRIUNFO VIGIAS - 33 2024|GINASIO CENTRO|4
TRIUNFO VIGIAS - 33 2024|GINASIO PORTO|1
TRIUNFO VIGIAS - 33 2024|QUADRA SERAFIM|1
TRIUNFO VIGIAS - 33 2024|UBS CATUPI|2
UFFS - 041.2021|UFFS - CERRO LARGO 041 2021|6
UFFS - 041.2021|UFFS - CERRO LARGO 041.2021|2
UFFS - 041.2021|UFFS - CHAPECÓ 041.2021|3
UFFS - 041.2021|UFFS - ERECHIM 041 2021|7
UFFS - 041.2021|UFFS - ERECHIM 041.2021|30
UFFS - 041.2021|UFFS - LARANJEIRAS 041 2021|10
UFFS - 041.2021|UFFS - PASSO FUNDO 041 2021|22
UFFS - 041.2021|UFFS - REALEZA 041 2021|23
UFRGS - ASB - 033 2021|UFRGS - AUXILIAR DE SAUDE BUCAL|11
UFRGS ASB - 033.2021|AUXILIAR DE SAUDE BUCAL|6
UFRGS CARREGADORES - 095.2024|CAMPUS VALE|1
UFRGS CARREGADORES - 095.2024|UFRGS-CARREGADORES-CAMPUS VALE-095|1
UFRGS-COPA E COZINHA - 025 2025|UFRGS-CENTRO-025|1
UFRGS-COPA E COZINHA - 025 2025|UFRGS-ELDORADO-025|2
UFRGS-COPA E COZINHA - 025 2025|UFRGS-LITORAL-025|1
UFRGS DIGITADORES - 014.2026|COORDENADORIA DE SEGURANÇA|1
UFRGS DIGITADORES - 014.2026|DEPATRI|5
UFRGS DIGITADORES - 014.2026|DEPGERTE|2
UFRGS DIGITADORES - 014.2026|FAC. AGRONOMIA – CIT|1
UFRGS DIGITADORES - 014.2026|GRÁFICA DA  UFRGS|1
UFRGS DIGITADORES - 014.2026|HCV – HOSPITAL VETERINÁRIO|2
UFRGS DIGITADORES - 014.2026|PPGVET - PÓS DA FACULDADE DE VETERINÁRIA|1
UFRGS DIGITADORES - 014.2026|PROGESP DAF|1
UFRGS DIGITADORES - 014.2026|PROGESP DCP|1
UFRGS DIGITADORES - 014.2026|PROGESP – DCR|2
UFRGS DIGITADORES - 014.2026|PROPLAN – ARQUIVO|1
UFRGS DIGITADORES - 014.2026|PROPLAN – DECON|2
UFRGS DIGITADORES - 014.2026|PROPLAN - PROTOCOLO|4
UFRGS DIGITADORES - 014.2026|SUINFRA – OFPROD|3
UFRGS  JARDINAGEM - 062.2025|CAMPUS AGRONOMIA|7
UFRGS  JARDINAGEM - 062.2025|CAMPUS CENTRO|7
UFRGS  JARDINAGEM - 062.2025|CAMPUS LITORAL|3
UFRGS  JARDINAGEM - 062.2025|CAMPUS SAUDE|2
UFRGS  JARDINAGEM - 062.2025|CAMPUS VALE|18
UFRGS - JARDINAGEM - 062 2025|UFRGS-AGRONOMIA-062|3
UFRGS - JARDINAGEM - 062 2025|UFRGS-CAMPUS SAUDE-062|1
UFRGS - JARDINAGEM - 062 2025|UFRGS-CAMPUS VALE-062|8
UFRGS - JARDINAGEM - 062 2025|UFRGS-CENTRO-062|4
UFRGS - JARDINAGEM - 062 2025|UFRGS-ELDORADO-062|1
UFRGS - JARDINAGEM - 062 2025|UFRGS-ESEFID-062|4
UFRGS - JARDINAGEM - 062 2025|UFRGS-LITORAL-062|5
UFRGS LIMPEZA - 020.2022|CAMPUS HCVET|2
UFRGS LIMPEZA - 020.2022|LIMPEZA HOSPITALAR ODONTO|17
UFRGS-LIMPEZA -020 2022|HCVET-020|8
UFRGS-LIMPEZA -020 2022|LIMPEZA HOSPITALAR ODONTO-020|17
UFRGS LIMPEZA GERAL - 047.2022|CAMPUS AGRONOMIA|1
UFRGS LIMPEZA GERAL - 047.2022|CAMPUS CENTRO 1|12
UFRGS LIMPEZA GERAL - 047.2022|CAMPUS CENTRO 2|3
UFRGS LIMPEZA GERAL - 047.2022|CAMPUS ESEFID|13
UFRGS LIMPEZA GERAL - 047.2022|CAMPUS LITORAL|3
UFRGS LIMPEZA GERAL - 047.2022|CAMPUS SAUDE|15
UFRGS LIMPEZA GERAL - 047.2022|CAMPUS SETOR 4|10
UFRGS LIMPEZA GERAL - 047.2022|CAMPUS VALE/IPH|10
UFRGS LIMPEZA GERAL - 047.2022|CAMPUS VALE/PREFEITURA|67
UFRGS LIMPEZA GERAL - 047.2022|CAMPUS VALE/VETERINARIA|2
UFRGS-LIMPEZA GERAL- 047 2022|UFRGS-AGRONOMIA-047|3
UFRGS-LIMPEZA GERAL- 047 2022|UFRGS-CAMPUS SAUDE-047|25
UFRGS-LIMPEZA GERAL- 047 2022|UFRGS-CAMPUS VALE/IPH-047|7
UFRGS-LIMPEZA GERAL- 047 2022|UFRGS-CENTRO- 1-047|15
UFRGS-LIMPEZA GERAL- 047 2022|UFRGS-CENTRO-2-047|6
UFRGS-LIMPEZA GERAL- 047 2022|UFRGS-ESEFID-047|7
UFRGS-LIMPEZA GERAL- 047 2022|UFRGS-LITORAL-047|1
UFRGS-LIMPEZA GERAL- 047 2022|UFRGS-SETOR-4-047|8
UFRGS-LIMPEZA GERAL- 047 2022|UFRGS-VALE/PREFEITURA-047|10
UFRGS-LIMPEZA GERAL- 047 2022|UFRGS-VALE/VETERINARIA-047|1
UFRGS - MOTORISTAS - 034 2022|UFRGS-DITRAN-MOTORISTAS -034|13
UFRGS - MOTORISTAS - 034 2022|UFRGS-FROTA-MOTORISTAS -034|3
UFRGS - MOTORISTAS - 034 2022|UFRGS-LITORAL-MOTORISTAS-034|3
UFRGS - MOTORISTAS - 034 2022|UFRGS-SUINFRA-MOTORISTAS -034|3
UFRGS MOTORISTAS - 034.2022|CAMPUS ELDORADO|1
UFRGS MOTORISTAS - 034.2022|CAMPUS FROTA|5
UFRGS MOTORISTAS - 034.2022|CAMPUS LITORAL|1
VERANÓPOLIS - 001 2021|CÂMARA MUNICIPAL DE VEREADORES|1
VERANÓPOLIS - 001 2021|CENTRO ADMINISTRATIVO PREFEITO SAUL IRINEU FARINA|3
VERANÓPOLIS - 001 2021|CORPO DE BOMBEIROS|2
VERANÓPOLIS - 001 2021|EMEF FELIPE DOS SANTOS|6
VERANÓPOLIS - 001 2021|EMEF IRMÃ JOANA AIMÉ|2
VERANÓPOLIS - 001 2021|EMEF IRMÃO ARTUR FRANCISCO|6
VERANÓPOLIS - 001 2021|EMEF IRMÃO JERÔNIMO|9
VERANÓPOLIS - 001 2021|EMEF SENADOR ALBERTO PASQUALINI|1
VERANÓPOLIS - 001 2021|EMEI ANITA DALL’AGNOL AMANTINO|9
VERANÓPOLIS - 001 2021|EMEI HILDA HOFFMANN PERUFFO|3
VERANÓPOLIS - 001 2021|EMEI Virginia Bernardi|1
VERANÓPOLIS - 001 2021|FARMÁCIA BÁSICA CENTRAL|1
VERANÓPOLIS - 001 2021|GINÁSIO MUNICIPAL LEONIR ANTÔNIO FARINA E A FEMAÇÃ|2
VERANÓPOLIS - 001 2021|PRAÇA DA GRUTA|2
VERANÓPOLIS - 001 2021|PRAÇA XV DE NOVEMBRO|2
VERANÓPOLIS - 001 2021|SECRETARIA DE EDUCAÇÃO, ESPORTES, LAZER E JUVENTUDE|1
VERANÓPOLIS - 001 2021|UNIDADE CENTRAL DE SAÚDE E SECRETARIA MUNICIPAL DE SAÚDE|1
VERANÓPOLIS - 001 2021|UNIDADE DO POSTO DE ESTRATÉGIA DE SAÚDE DA FAMÍLIA DO BAIRRO RENOVAÇÃO|1
VERANÓPOLIS - 001 2021|UNIDADE DO POSTO DE ESTRATÉGIA DE SAÚDE DA FAMÍLIA DO BAIRRO SANTO ANTÔNIO|1
VERANÓPOLIS - 001 2021|UNIDADE DO POSTO DE ESTRATÉGIA DE SAÚDE DA FAMÍLIA DO BAIRRO UNIVERSAL|1
VERANOPOLIS RECEPÇÃO-011.2026|CENTRO DE CONVIVÊNCIA|3
VERANOPOLIS RECEPÇÃO-011.2026|CONSELHO TUTELAR|1
VERANOPOLIS RECEPÇÃO-011.2026|CRAS|1
VERANOPOLIS RECEPÇÃO-011.2026|CREAS|1
VERANOPOLIS RECEPÇÃO-011.2026|SECRETARIA DE SAUDE|6
VERANOPOLIS RECEPÇÃO-011.2026|VINCULOS IVO ZANELLA|5
(284 linhas)
